   34.5    -0.80  12.476  -0.5368
   34.7    -0.30  12.516  -0.5487
   34.9    -0.00  12.561  -0.5543
   35.0    -0.19  12.603  -0.5526
   35.1    -0.06  12.648  -0.5579
   35.3     0.20  12.691  -0.5584
   35.3    -0.22  12.735  -0.5468
   35.3    -0.13  12.777  -0.5538
   35.5    -0.22  12.817  -0.5682
   35.5     0.02  12.858  -0.5633
   35.5    -0.37  12.900  -0.5645
   35.7    -0.30  12.941  -0.5638
   35.9     0.03  12.983  -0.5614
   36.1    -0.01  13.022  -0.5774
   36.0    -0.19  13.064  -0.5754
   36.0    -0.20  13.105  -0.5754
   36.2    -0.09  13.147  -0.5697
   36.4    -0.01  13.189  -0.5644
   36.4    -0.20  13.232  -0.5724
   36.4    -0.41  13.271  -0.5717
   36.4    -0.62  13.312  -0.5746
   36.6    -0.54  13.354  -0.5702
   36.7    -0.28  13.395  -0.5693
   36.8    -0.05  13.434  -0.5700
   36.9    -0.58  13.475  -0.5677
   36.9    -0.08  13.515  -0.5678
   36.9    -0.52  13.553  -0.5665
   37.2    -0.28  13.595  -0.5718
   37.2    -0.60  13.636  -0.5705
   37.4    -0.20  13.675  -0.5665
   37.4    -0.43  13.717  -0.5519
   37.6    -0.12  13.758  -0.5577
   37.6    -0.36  13.798  -0.5587
   37.7    -0.03  13.838  -0.5546
   37.7    -0.37  13.878  -0.5527
   37.8    -0.29  13.917  -0.5478
   37.9    -0.27  13.958  -0.5550
   38.1    -0.23  13.999  -0.5568
   38.2    -0.40  14.039  -0.5511
   38.2    -0.31  14.078  -0.5405
   38.2    -0.34  14.118  -0.5536
   38.4    -0.50  14.158  -0.5575
   38.6     0.11  14.200  -0.5623
   38.6    -0.21  14.241  -0.5700
   38.7    -0.17  14.282  -0.5769
   38.8    -0.04  14.323  -0.5717
   38.9    -0.01  14.368  -0.5690
   38.9    -0.37  14.414  -0.5717
   39.2     0.08  14.458  -0.5725
   39.3     0.03  14.499  -0.5719
   39.3    -0.57  14.542  -0.5762
   39.3    -0.31  14.582  -0.5654
   39.5    -0.20  14.623  -0.5579
   39.6    -0.33  14.666  -0.5659
   39.6    -0.46  14.707  -0.5652
   39.7    -0.40  14.749  -0.5674
   39.6    -0.63  14.789  -0.5738
   39.8    -0.23  14.831  -0.5716
   39.9    -0.58  14.872  -0.5748
   40.1    -0.30  14.913  -0.5760
   40.2    -0.55  14.955  -0.5732
   40.1    -0.63  14.996  -0.5713
   40.3    -0.28  15.039  -0.5686
   40.4    -0.72  15.083  -0.5708
   40.6    -0.13  15.124  -0.5805
   40.6    -0.37  15.164  -0.5725
   40.7    -0.34  15.205  -0.5760
   40.9    -0.11  15.246  -0.5766
   41.1    -0.07  15.286  -0.5636
   41.0    -0.34  15.327  -0.5688
   41.1    -0.62  15.368  -0.5654
   41.2    -0.24  15.407  -0.5692
   41.3    -0.21  15.449  -0.5680
   41.4    -0.38  15.491  -0.5628
   41.5    -0.31  15.533  -0.5607
   41.4    -0.48  15.574  -0.5656
   41.7    -0.46  15.616  -0.5691
   41.7    -0.35  15.655  -0.5603
   42.1     0.12  15.695  -0.5534
   41.9    -0.21  15.735  -0.5488
   42.1     0.06  15.778  -0.5566
   42.2    -0.10  15.818  -0.5625
   42.2    -0.29  15.858  -0.5673
   42.5    -0.28  15.897  -0.5658
   42.5    -0.11  15.937  -0.5606
   42.4    -0.38  15.979  -0.5639
   42.6    -0.12  16.020  -0.5599
   42.7    -0.31  16.065  -0.5572
   42.8    -0.23  16.107  -0.5477
   43.0    -0.02  16.152  -0.5513
   42.9    -0.38  16.197  -0.5478
   43.1    -0.46  16.242  -0.5457
   43.2    -0.03  16.283  -0.5357
   43.3    -0.19  16.328  -0.5268
   43.5     0.03  16.370  -0.5341
   43.5    -0.19  16.411  -0.5370
   43.6    -0.22  16.452  -0.5413
   43.6    -0.55  16.492  -0.5364
   43.8    -0.19  16.534  -0.5264
   43.9    -0.31  16.577  -0.5140
   43.9    -0.50  16.617  -0.5173
   44.1     0.10  16.659  -0.5280
   44.2    -0.26  16.699  -0.5263
   44.2    -0.28  16.740  -0.5266
   44.3    -0.22  16.781  -0.5256
   44.2    -0.65  16.822  -0.5355
   44.4    -0.36  16.864  -0.5407
   44.4    -0.57  16.903  -0.5447
   44.6    -0.25  16.943  -0.5436
   44.6    -0.34  16.986  -0.5378
   44.9    -0.37  17.026  -0.5346
   45.1     0.10  17.069  -0.5263
   44.9    -0.37  17.110  -0.5368
   45.0    -0.45  17.152  -0.5070
   45.1    -0.48  17.192  -0.5101
   45.2    -0.52  17.233  -0.5115
   45.3    -0.49  17.276  -0.5185
   45.3    -0.60  17.319  -0.5233
   45.5    -0.35  17.359  -0.5256
   45.6    -0.28  17.401  -0.5189
   45.8    -0.13  17.441  -0.5301
   45.8    -0.43  17.482  -0.5304
   45.9    -0.09  17.523  -0.5262
   45.9    -0.46  17.566  -0.5229
   46.1    -0.16  17.605  -0.5171
   46.1    -0.37  17.646  -0.4896
   46.2    -0.42  17.688  -0.4944
   46.4    -0.03  17.729  -0.4980
   46.3    -0.49  17.773  -0.4870
   46.5     0.08  17.814  -0.4859
   46.6    -0.25  17.861  -0.4872
   46.6    -0.21  17.904  -0.5034
   46.8    -0.39  17.948  -0.5281
   46.8    -0.74  17.994  -0.5304
   46.8    -0.45  18.039  -0.5261
   47.1    -0.28  18.082  -0.5253
   47.1    -0.49  18.124  -0.5189
   47.5    -0.00  18.165  -0.5009
   47.6    -0.23  18.206  -0.5057
   47.5    -0.38  18.249  -0.5125
   47.7    -0.12  18.291  -0.5184
   47.7    -0.17  18.333  -0.5078
   47.9    -0.57  18.374  -0.5003
   47.9    -0.42  18.415  -0.4884
   48.2     0.00  18.457  -0.4874
   48.1    -0.49  18.500  -0.4974
   48.3     0.05  18.542  -0.4958
   48.3    -0.22  18.584  -0.5001
   48.4    -0.38  18.625  -0.5030
   48.5    -0.09  18.666  -0.4996
   48.6    -0.33  18.707  -0.5008
   48.7     0.12  18.747  -0.4535
   48.8    -0.10  18.787  -0.4584
   48.9    -0.29  18.829  -0.4689
   48.8    -0.29  18.869  -0.4670
   49.0    -0.06  18.909  -0.4855
   49.0    -0.05  18.952  -0.5021
   49.2    -0.29  18.992  -0.4877
   49.3     0.13  19.033  -0.4784
   49.3    -0.38  19.075  -0.4709
   49.6    -0.21  19.116  -0.4898
   49.4    -0.39  19.157  -0.4973
   49.6    -0.02  19.197  -0.4960
   49.7    -0.05  19.235  -0.4873
   49.8    -0.50  19.276  -0.4789
   50.0     0.22  19.317  -0.4513
   49.8    -0.22  19.357  -0.4524
   50.0    -0.45  19.398  -0.4604
   50.1    -0.33  19.436  -0.4391
   50.2    -0.36  19.474  -0.4023
   50.2    -0.55  19.516  -0.4668
   50.3    -0.36  19.558  -0.4753
   50.5    -0.18  19.598  -0.4754
   50.7    -0.13  19.642  -0.4726
